Text,Label,Case
"""בהתאם לכך ולנוכח ריבוי מקרי הירי, יש לנקוט במדיניות ענישה מחמירה כלפי ביצוע עבירות החזקת נשק שלא כדין, ועל אחת כמה וכמה שימוש בנשק חם ופציעתם של קורבנות שונים עקב כך"";",reject,train
"""לא אחת עמד בית משפט זה על החומרה היתרה הנודעת לעבירות נשק בכלל, ולעבירת החזקת נשק בפרט, המקימה סיכון ממשי וחמור לציבור ויוצרת פוטנציאל להסלמה עבריינית, ולפיכך, מחייבת ליתן ביטוי עונשי הולם ומרתיע באמצעות הרחקת מבצע העבירה מן החברה לתקופה מסוימת"";",reject,train
"""נשק המתגלגל מיד ליד עלול להגיע לידי גורמים עברייניים או לפעילות ביטחונית, פגיעתו הרעה מורגשת ומהווה איום על שלום הציבור כולו""",reject,train
איתן כהן 54678313,reject,train
"אשר להטלת מאסרים ממש, נקבע בדוח שברי שמאסרים מצמצמים את הפשיעה באמצעות הרחקת עבריינים מסוכנים מהציבור;",reject,train
"אשר לנסיבות המיוחדות של הגעת האקדח לידי הנאשם, מצאתי שיש בהן פן מקל ופן מחמיר;",reject,train
"אשר לעונש, הוסכם שהצדדים יטענו באופן חופשי;",reject,train
"אשר לתוצאה שבכוח, אומר שפוטנציאל הנזק שיש במעשה שכזה הוא רב ועולה כדי סיכון חיי אדם ממש;",reject,train
את דבריו חתם בכך שטען שאמנם הנאשם הורשע בעבירת החזקת אקדח ללא רישיון ברם הנסיבות הן חריגות ויוצאות דופן וכך גם נדרש להתייחס אליהן;,reject,train
את טיעוניו תמך בפסיקה;,reject,train
"בגזירת העונש המתאים לנאשם, רשאי בית המשפט להתחשב בנסיבות שאינן קשורות בביצוע העבירה ולתת להן משקל, ובלבד שהעונש לא יחרוג  ממתחם העונש ההולם;",reject,train
בהסדר הטיעון שנכרת בין הצדדים הוסכם שהנאשם יודה ויורשע בכתב האישום;,reject,train
"בהקשר לפסקי הדין דלעיל, יש להזכיר את ההבדל שבין טווח הענישה המקובל בפסיקה ובין מתחם העונש ההולם;",reject,train
בהתאם לכך נתתי דעתי לנסיבות הבאות:,reject,train
"בהתייחס למתחם העונש ההולם ולקביעת העונש המתאים, קבע בית המשפט המחוזי שנפלו טעויות הן בקביעת המתחם והן בעונש שהוטל בבית משפט השלום;",reject,train
"בהתייחסו לעבירה של החזקת נשק בלא רשות כדין, אמר בית המשפט כך:",reject,train
