Text,Label,Tagger,Case
"""בהתאם לכך ולנוכח ריבוי מקרי הירי, יש לנקוט במדיניות ענישה מחמירה כלפי ביצוע עבירות החזקת נשק שלא כדין, ועל אחת כמה וכמה שימוש בנשק חם ופציעתם של קורבנות שונים עקב כך"";",reject,Michael,train
"""לא אחת עמד בית משפט זה על החומרה היתרה הנודעת לעבירות נשק בכלל, ולעבירת החזקת נשק בפרט, המקימה סיכון ממשי וחמור לציבור ויוצרת פוטנציאל להסלמה עבריינית, ולפיכך, מחייבת ליתן ביטוי עונשי הולם ומרתיע באמצעות הרחקת מבצע העבירה מן החברה לתקופה מסוימת"";",reject,Michael,train
"""נשק המתגלגל מיד ליד עלול להגיע לידי גורמים עברייניים או לפעילות ביטחונית, פגיעתו הרעה מורגשת ומהווה איום על שלום הציבור כולו""",reject,Michael,train
איתן כהן 54678313,reject,Michael,train
"אשר להטלת מאסרים ממש, נקבע בדוח שברי שמאסרים מצמצמים את הפשיעה באמצעות הרחקת עבריינים מסוכנים מהציבור;",reject,Michael,train
"אשר לנסיבות המיוחדות של הגעת האקדח לידי הנאשם, מצאתי שיש בהן פן מקל ופן מחמיר;",reject,Michael,train
"אשר לעונש, הוסכם שהצדדים יטענו באופן חופשי;",reject,Michael,train
"אשר לתוצאה שבכוח, אומר שפוטנציאל הנזק שיש במעשה שכזה הוא רב ועולה כדי סיכון חיי אדם ממש;",reject,Michael,train
את דבריו חתם בכך שטען שאמנם הנאשם הורשע בעבירת החזקת אקדח ללא רישיון ברם הנסיבות הן חריגות ויוצאות דופן וכך גם נדרש להתייחס אליהן;,reject,Michael,train
את טיעוניו תמך בפסיקה;,reject,Michael,train
"בגזירת העונש המתאים לנאשם, רשאי בית המשפט להתחשב בנסיבות שאינן קשורות בביצוע העבירה ולתת להן משקל, ובלבד שהעונש לא יחרוג  ממתחם העונש ההולם;",reject,Michael,train
בהסדר הטיעון שנכרת בין הצדדים הוסכם שהנאשם יודה ויורשע בכתב האישום;,reject,Michael,train
"בהקשר לפסקי הדין דלעיל, יש להזכיר את ההבדל שבין טווח הענישה המקובל בפסיקה ובין מתחם העונש ההולם;",reject,Michael,train
בהתאם לכך נתתי דעתי לנסיבות הבאות:,reject,Michael,train
"בהתייחס למתחם העונש ההולם ולקביעת העונש המתאים, קבע בית המשפט המחוזי שנפלו טעויות הן בקביעת המתחם והן בעונש שהוטל בבית משפט השלום;",reject,Michael,train
"בהתייחסו לעבירה של החזקת נשק בלא רשות כדין, אמר בית המשפט כך:",reject,Michael,train
"בטיעוניה הדגישה שבתי המשפט לאורך השנים עמדו בפסיקותיהם על החומרה שיש בעבירה זו אשר טומנת בחובה פוטנציאל הרסני של ממש ופוגעת בערך המוגן של הבטחת שלום הציבור וביטחונו, וכן על הצורך בהעלאת רף הענישה בעבירות אלה;",reject,Michael,train
"בית המשפט המחוזי עמד על מדרג החומרה המקובל בעבירות נשק וקבע שההחמרה בענישה נדרשת בכל קשת עבירות הנשק לרבות בעבירות המצויות בצדו הנמוך של המדרג כמו החזקה בלבד, וזאת בשל פוטנציאל הסיכון הטמון בעבירות אלה;",reject,Michael,train
בית המשפט מצא שהעונש נמוך בשיעור ניכר מהעונש הראוי באופן שמצדיק את התערבותה של ערכאת הערעור;,reject,Michael,train
"בית המשפט מצווה לקבוע מתחם עונש הולם למעשה העבירה בהתאם לעיקרון המנחה, תוך התחשבות בערך החברתי שנפגע ובמידת הפגיעה בו, במדיניות הענישה הנוהגת ובנסיבות הקשורות בביצוע העבירה;",reject,Michael,train
בית משפט השלום בירושלים,reject,Michael,train
בכך העמיד הנאשם את הציבור בסיכון של ממש;,reject,Michael,train
"במסגרת הנסיבות הקשורות בביצוע העבירה, נתתי דעתי לנסיבות הבאות:",reject,Michael,train
"במקרה דנא, הערכים החברתיים המוגנים שנפגעו הם ההגנה על שלום הציבור ובטחונו ומניעת סיכון לחיי אדם;",reject,Michael,train
"במקרה דנא, לא מצאתי שקיימים שיקולים אשר מצדיקים סטייה מהמתחם, לחומרה או לקולה;",reject,Michael,train
"בעוד שטווח הענישה הוא נתון שמבוסס על הדין הנוהג ומשקף ביטויי ענישה שונים למעשים דומים או קרובים, הרי שמתחם העונש ההולם הוא הכרעה ערכית של בית המשפט בדבר מדיניות הענישה הראויה, הכרעה שמבוססת על שורה של שיקולים שהפסיקה הנוהגת היא רק אחד מהם;",reject,Michael,train
"בעניין עריכה ושינויים במסמכי פסיקה, חקיקה ועוד באתר נבו – הקש כאן",reject,Michael,train
בעניין:,reject,Michael,train
בפני,reject,Michael,train
גזירת העונש המתאים לנאשם,reject,Michael,train
גזר דין,reject,Michael,train
דברי הנאשם,reject,Michael,train
"דברים ברוח זו נאמרו בראשית חודש נובמבר 2015 בדו""ח הועדה הציבורית לבחינת מדיניות הענישה והטיפול בעבריינים, בראשות כב' השופטת (בדימוס) דליה דורנר;",reject,Michael,train
